step,total_loss,bc_loss,q_loss,policy_loss,diffusion_loss,vae_loss
91000,65308.9141,0.7839,17106.1797,-7799.5898,0.5118,1.9212
65000,-2.4407,0.7627,0.295,-19.0143,0.5252,2.0437
92000,4172.1392,0.7732,1879.0327,-8370.0059,0.5359,1.9119
66000,-2.4361,0.7882,0.294,-19.1894,0.5074,2.0173
93000,58306.4648,0.7745,15418.7607,-8431.4336,0.5125,1.9281
67000,-2.7801,0.7728,0.2562,-19.5474,0.508,2.0744
94000,70459.6172,0.8185,18485.8906,-8720.3242,0.5238,1.9377
68000,-3.135,0.6816,0.3209,-20.1907,0.5252,2.0314
95000,-502.8878,0.7909,768.4921,-8952.3701,0.5396,1.9423
69000,-2.9271,0.6699,0.4398,-20.7252,0.51,2.0718
96000,-1283.118,0.8441,550.1338,-8719.8281,0.5185,1.9164
70000,-3.0218,0.6447,0.5244,-21.5756,0.508,2.1186
97000,-394.9883,0.8083,847.9386,-9477.2354,0.5333,1.9254
71000,-2.6553,0.7064,0.7825,-23.9489,0.5056,2.3147
72000,-1.5384,0.7347,1.4254,-28.0335,0.5124,2.61
98000,5007.0518,0.8287,2198.4727,-9477.666,0.5256,1.9346
73000,-0.3935,0.7528,2.3825,-35.1855,0.5099,3.1482
99000,17907.7363,0.7496,5397.2061,-9212.4619,0.5181,1.8995
74000,7.9242,0.7572,5.2615,-43.6341,0.52,3.9148
100000,-1180.9287,0.8708,664.548,-9608.7812,0.5168,1.9589
75000,13.9473,0.9927,7.4905,-53.4229,0.5098,4.3696
101000,8986.3779,0.8326,3198.4297,-9528.9668,0.5277,1.9397
76000,5.6842,1.0143,6.8392,-68.2361,0.5053,5.2967
102000,2229.7283,0.8231,1507.1179,-9507.332,0.5096,1.9373
77000,52.6562,1.7217,19.1712,-81.9715,0.5334,6.7007
103000,1711.6536,0.7607,1458.2993,-10313.7324,0.5267,1.9008
78000,225.2626,1.9316,62.195,-84.7777,0.5488,10.5934
104000,-1191.5798,0.8194,713.6733,-10126.1416,0.513,1.966
79000,106.8743,1.7586,35.2735,-108.7294,0.6068,8.1561
105000,122048.1641,0.8615,31542.8262,-10318.6641,0.4911,1.9382
80000,169.7364,1.8823,51.1522,-110.3542,0.5098,6.1524
106000,5661.1401,0.8333,2470.6572,-10564.3213,0.5178,1.9439
81000,241.0567,1.9228,70.2738,-124.4089,0.5668,7.337
107000,77503.4453,0.866,20407.3027,-10325.3984,0.5417,1.945
82000,289.8313,1.5993,85.912,-158.358,0.5406,12.9429
108000,-555.9879,0.8291,970.8342,-11108.8467,0.5117,1.9299
83000,33.3456,1.9542,12.2842,-64.492,0.5871,8.0067
84000,417.5095,1.926,122.825,-212.1389,0.5294,14.1586
109000,1551.5897,0.8311,1496.7625,-11099.207,0.5168,1.9094
85000,596.7421,1.8715,169.556,-258.1594,0.4961,68.9983
110000,4447.4048,0.8578,2211.6597,-11008.875,0.4976,1.9375
86000,1020.0551,1.925,281.5717,-364.9635,0.4745,157.8963
111000,16687.7168,0.9226,5291.2178,-11204.4111,0.5313,1.9504
87000,1224.5535,1.9257,343.8913,-518.184,0.446,240.5661
112000,7161.709,0.8132,2999.7119,-12103.1699,0.4944,1.9104
88000,1150.446,1.9213,340.6505,-709.4879,0.4329,317.6053
113000,-1641.9111,0.856,760.2106,-11717.751,0.5287,1.9705
89000,1419.6708,1.8903,430.0085,-955.0433,0.4088,368.4206
114000,96880.3828,0.8164,25495.5898,-12765.3789,0.5174,1.937
90000,1994.3438,1.9209,596.1577,-1219.4607,0.3934,447.1034
115000,-2445.3459,0.8011,555.9519,-11683.1387,0.5118,1.929
91000,4057.0466,1.9106,1135.0742,-1487.6899,0.3907,518.9621
116000,20435.3848,0.8354,6402.2856,-12945.0566,0.5357,1.9367
92000,5645.771,1.9456,1555.8401,-1783.439,0.3688,638.1738
117000,12362.6904,0.7976,4416.2178,-13265.6768,0.5159,1.921
93000,7154.6006,1.912,1955.2708,-2037.6503,0.3453,702.9222
118000,23026.5371,0.8297,7004.5728,-12489.9121,0.5039,1.9382
94000,8164.563,1.9148,2224.5405,-2252.4131,0.3257,796.9078
119000,17343.9688,0.7349,5691.2925,-13562.6328,0.5319,1.8964
95000,10686.2783,1.9479,2871.4875,-2463.936,0.3175,888.968
96000,12758.6904,1.9374,3399.7075,-2614.458,0.306,987.9382
120000,-851.1291,0.8661,1096.5818,-13104.5176,0.5012,1.9271
97000,11610.2051,1.9195,3126.3755,-2783.1812,0.2862,1050.0579
121000,18147.7793,0.7656,5953.4707,-14175.166,0.5247,1.8779
98000,12954.874,1.9226,3472.4976,-2937.0874,0.2759,1158.7634
122000,15772.3477,0.7896,5367.3823,-14253.0547,0.4969,1.9293
99000,18492.9609,1.9288,4870.4312,-3100.8391,0.2748,1217.9115
123000,15854.8799,0.8072,5338.3984,-13757.0977,0.5153,1.9097
100000,21300.3379,1.9113,5586.2119,-3255.9622,0.2645,1249.8309
124000,-2218.2913,0.7593,887.8815,-14434.375,0.5158,1.9001
101000,27094.168,1.9331,7045.2051,-3382.6248,0.2678,1291.9882
125000,67494.875,0.8245,18323.8828,-14512.1943,0.5293,1.9382
102000,22675.1016,1.9158,5954.1553,-3569.002,0.2383,1390.902
126000,13737.1758,0.8482,4748.1387,-13149.1934,0.5155,1.9515
103000,32421.9414,1.9345,8403.6445,-3730.3423,0.2544,1457.5408
127000,15679.375,0.8359,5377.8901,-14591.1211,0.5322,1.939
104000,36474.1562,1.911,9432.0537,-3914.6611,0.219,1519.7076
128000,2108.5745,0.8304,2051.8613,-15257.7246,0.5124,1.9246
105000,33741.2031,1.929,8760.7461,-4082.8892,0.2098,1617.2448
129000,-989.36,0.7919,1270.0217,-15183.8271,0.5326,1.9177
106000,47984.4219,1.921,12338.2646,-4273.3198,0.2069,1663.9965
130000,53595.6367,0.8038,14946.9287,-15490.4531,0.5059,1.895
107000,36296.1953,1.9122,9428.917,-4459.9639,0.1941,1783.346
108000,36449.0,1.8908,9486.4941,-4677.29,0.1752,1830.9931
131000,45278.6797,0.808,12931.3994,-16127.5918,0.5044,1.9133
109000,39143.0977,1.9521,10171.043,-4834.1929,0.1785,1923.0653
132000,-3157.5291,0.8194,809.9181,-16003.4365,0.5063,1.9463
110000,53548.3906,1.9145,13788.042,-5048.3926,0.1666,2038.7607
133000,-2139.6548,0.8414,1177.275,-17132.5879,0.5257,1.9448
111000,56416.7969,1.9074,14518.9883,-5209.9951,0.17,2085.2233
134000,8299.375,0.7801,3740.0259,-16661.8574,0.5105,1.9191
112000,49426.1445,1.9284,12783.8105,-5378.1865,0.1593,2171.5104
135000,26528.9453,0.8724,8273.3652,-16422.2988,0.528,1.9332
113000,66344.5156,1.8933,17030.0078,-5570.0586,0.1619,2223.8499
136000,39661.8203,0.8426,11526.1885,-16117.9746,0.4994,1.9393
114000,71965.1094,1.9225,18442.9707,-5695.7607,0.1479,2318.4817
137000,54449.0938,0.7819,15188.0703,-15768.043,0.5236,1.9055
115000,47565.3711,1.9022,12359.1543,-5898.0234,0.1392,2401.0846
138000,1827.3367,0.7935,2129.9185,-16741.0176,0.5079,1.9409
116000,141987.4688,1.8901,35973.2656,-6008.8794,0.1552,2451.2072
139000,-3748.6829,0.7983,871.0919,-18092.873,0.5242,1.9063
117000,70516.8984,1.9006,18120.2578,-6187.123,0.1451,2514.8714
